LebwohlLasher.py: Size: 50, Steps: 50, T*: 0.500: Order: 0.292, Time: 2.724900 s
         1461196 function calls (1445815 primitive calls) in 3.254 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      438    0.000    0.000    0.002    0.000 colors.py:268(to_rgba)
     2674    0.001    0.000    0.002    0.000 cbook.py:405(_strip_comment)
       51    0.000    0.000    0.002    0.000 <__array_function__ internals>:177(vstack)
        1    0.000    0.000    0.002    0.002 rrule.py:1(<module>)
      241    0.000    0.000    0.002    0.000 rcsetup.py:279(validate_color_for_prop_cycle)
     55/8    0.000    0.000    0.002    0.000 core.py:3635(leave_whitespace)
       35    0.000    0.000    0.002    0.000 rcsetup.py:107(<listcomp>)
        1    0.000    0.000    0.002    0.002 bz2.py:1(<module>)
      108    0.000    0.000    0.002    0.000 <frozen abc>:105(__new__)
        1    0.000    0.000    0.002    0.002 axes3d.py:42(Axes3D)
   114/57    0.000    0.000    0.002    0.000 core.py:3722(copy)
       18    0.000    0.000    0.002    0.000 rcsetup.py:662(cycler)
      164    0.001    0.000    0.002    0.000 _compiler.py:241(_optimize_charset)
      332    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:1599(_get_spec)
        1    0.000    0.000    0.002    0.002 defmatrix.py:1(<module>)
        1    0.000    0.000    0.002    0.002 transforms.py:1(<module>)
     1185    0.000    0.000    0.002    0.000 <frozen abc>:117(__instancecheck__)
       22    0.000    0.000    0.002    0.000 core.py:4779(parseImpl)
      739    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap>:179(_get_module_lock)
       68    0.000    0.000    0.002    0.000 deprecation.py:128(deprecate)
      618    0.000    0.000    0.002    0.000 _inspect.py:96(getargspec)
       51    0.000    0.000    0.002    0.000 <__array_function__ internals>:177(zeros_like)
      445    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:159(_path_isfile)
        1    0.000    0.000    0.002    0.002 decoder.py:1(<module>)
      253    0.002    0.000    0.002    0.000 {method 'reduce' of 'numpy.ufunc' objects}
        1    0.000    0.000    0.002    0.002 ImagePalette.py:1(<module>)
     6206    0.002    0.000    0.002    0.000 _parser.py:233(__next)
     1185    0.000    0.000    0.002    0.000 {built-in method _abc._abc_instancecheck}
      151    0.001    0.000    0.001    0.000 fromnumeric.py:69(_wrapreduction)
      482    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:150(_path_is_mode_type)
       51    0.000    0.000    0.001    0.000 shape_base.py:223(vstack)
        8    0.000    0.000    0.001    0.000 typing.py:2874(__new__)
      386    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:216(_lock_unlock_module)
    31339    0.001    0.000    0.001    0.000 {built-in method builtins.callable}
      317    0.000    0.000    0.001    0.000 function_base.py:483(add_newdoc)
        1    0.000    0.000    0.001    0.001 widgets.py:1(<module>)
        1    0.000    0.000    0.001    0.001 _add_newdocs.py:1(<module>)
   114/57    0.000    0.000    0.001    0.000 core.py:3724(<listcomp>)
      686    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1421(_path_importer_cache)
        2    0.000    0.000    0.001    0.001 core.py:5684(srange)
      570    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:132(_path_split)
 1607/190    0.000    0.000    0.001    0.000 <frozen abc>:121(__subclasscheck__)
      713    0.001    0.000    0.001    0.000 inspect.py:735(unwrap)
      169    0.001    0.000    0.001    0.000 colors.py:310(_to_rgba_no_colorcycle)
      100    0.000    0.000    0.001    0.000 <__array_function__ internals>:177(prod)
       67    0.000    0.000    0.001    0.000 colors.py:1089(reversed)
 1607/190    0.001    0.000    0.001    0.000 {built-in method _abc._abc_subclasscheck}
    10949    0.001    0.000    0.001    0.000 {method 'get' of 'dict' objects}
       51    0.000    0.000    0.001    0.000 numeric.py:77(zeros_like)
    38/18    0.000    0.000    0.001    0.000 core.py:4373(parseImpl)
       55    0.000    0.000    0.001    0.000 core.py:3643(<listcomp>)
        1    0.000    0.000    0.001    0.001 linalg.py:1(<module>)
      225    0.001    0.000    0.001    0.000 core.py:455(__init__)
     4430    0.001    0.000    0.001    0.000 {built-in method builtins.sorted}
        8    0.000    0.000    0.001    0.000 typing.py:2855(_make_nmtuple)
  266/157    0.000    0.000    0.001    0.000 core.py:1857(name)
    51/38    0.000    0.000    0.001    0.000 typing.py:479(__getitem__)
       70    0.000    0.000    0.001    0.000 deprecation.py:257(rename_parameter)
        1    0.000    0.000    0.001    0.001 scanner.py:1(<module>)
       67    0.000    0.000    0.001    0.000 colors.py:1108(<dictcomp>)
       89    0.000    0.000    0.001    0.000 typing.py:1353(__init__)
        1    0.000    0.000    0.001    0.001 decimal.py:1(<module>)
  215/110    0.000    0.000    0.001    0.000 core.py:1832(default_name)
       26    0.000    0.000    0.001    0.000 deprecation.py:416(make_keyword_only)
       51    0.000    0.000    0.001    0.000 linalg.py:192(_assert_finite)
      332    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:778(spec_from_file_location)
      100    0.000    0.000    0.001    0.000 fromnumeric.py:2955(prod)
       12    0.000    0.000    0.001    0.000 _docstring.py:57(<listcomp>)
        1    0.000    0.000    0.001    0.001 helpers.py:648(make_html_tags)
        1    0.000    0.000    0.001    0.001 helpers.py:590(_makeTags)
        1    0.000    0.000    0.001    0.001 ExifTags.py:21(Base)
     6466    0.001    0.000    0.001    0.000 enum.py:1091(__new__)
        1    0.000    0.000    0.001    0.001 contextvars.py:1(<module>)
       22    0.000    0.000    0.001    0.000 core.py:4956(parseImpl)
      739    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:100(acquire)
      420    0.001    0.000    0.001    0.000 enum.py:1509(__and__)
      223    0.000    0.000    0.001    0.000 typing.py:168(_type_check)
        1    0.000    0.000    0.001    0.001 base64.py:1(<module>)
       38    0.000    0.000    0.001    0.000 typing.py:658(Union)
    26/14    0.000    0.000    0.001    0.000 core.py:4108(parseImpl)
      222    0.000    0.000    0.001    0.000 <__array_function__ internals>:177(concatenate)
      195    0.001    0.000    0.001    0.000 colors.py:1110(<listcomp>)
      739    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:125(release)
      448    0.000    0.000    0.001    0.000 __init__.py:178(sub)
      160    0.000    0.000    0.001    0.000 <__array_function__ internals>:177(column_stack)
     4615    0.001    0.000    0.001    0.000 {built-in method builtins.setattr}
       20    0.000    0.000    0.001    0.000 core.py:4889(parseImpl)
        1    0.000    0.000    0.001    0.001 font_manager.py:1564(_load_fontmanager)
      512    0.000    0.000    0.001    0.000 __init__.py:163(match)
        2    0.000    0.000    0.001    0.001 dataclasses.py:1379(make_dataclass)
      636    0.001    0.000    0.001    0.000 inspect.py:167(get_annotations)
      356    0.000    0.000    0.001    0.000 inspect.py:776(_findclass)
       32    0.000    0.000    0.001    0.000 colors.py:409(to_rgba_array)
     25/6    0.000    0.000    0.001    0.000 core.py:3816(streamline)
       44    0.000    0.000    0.001    0.000 _base.py:66(__set_name__)
     78/4    0.000    0.000    0.001    0.000 core.py:909(_parseCache)
       82    0.000    0.000    0.001    0.000 core.py:2266(__init__)
        1    0.000    0.000    0.001    0.001 hashlib.py:1(<module>)
   256/18    0.000    0.000    0.001    0.000 ast.py:414(visit)
      221    0.000    0.000    0.001    0.000 _parser.py:94(closegroup)
       62    0.000    0.000    0.001    0.000 core.py:1352(__add__)
